age,gender,state,race,educational_attainment,occupation
17,Female,Colorado/CO,White alone,Doctorate degree,ENT-Graphic Designers
18,Female,Indiana/IN,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Utah/UT,White alone,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing"
18,Female,North Dakota/ND,White alone,Bachelor's degree,"MGR-Farmers, Ranchers, And Other Agricultural Managers"
19,Female,Pennsylvania/PA,Some Other Race alone,Regular high school diploma,"FFF-Graders And Sorters, Agricultural Products"
20,Female,Mississippi/MS,Black or African American alone,Associate's degree,EDU-Tutors
19,Female,Mississippi/MS,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Vermont/VT,White alone,Regular high school diploma,OFF-Receptionists And Information Clerks
17,Female,Arizona/AZ,White alone,Doctorate degree,EDU-Postsecondary Teachers
17,Female,Ohio/OH,White alone,Associate's degree,CON-Construction And Building Inspectors
17,Female,Tennessee/TN,White alone,Regular high school diploma,SAL-Cashiers
20,Female,Michigan/MI,White alone,Associate's degree,SAL-Advertising Sales Agents
18,Female,Missouri/MO,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Wisconsin/WI,White alone,12th grade - no diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
16,Female,California/CA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,North Carolina/NC,White alone,Regular high school diploma,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
17,Female,Texas/TX,White; Some Other Race,Regular high school diploma,TRN-Industrial Truck And Tractor Operators
20,Female,Florida/FL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Arizona/AZ,White alone,Bachelor's degree,EDU-Postsecondary Teachers
18,Female,North Carolina/NC,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Iowa/IA,White alone,Regular high school diploma,"BUS-Claims Adjusters, Appraisers, Examiners, And Investigators"
16,Female,New York/NY,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,Some Other Race alone,Master's degree,TRN-Taxi Drivers
21,Female,Utah/UT,Some Other Race alone,Bachelor's degree,MGR-Medical And Health Services Managers
17,Female,California/CA,White alone,"1 or more years of college credit, no degree","TRN-Bus Drivers, Transit And Intercity"
18,Female,Michigan/MI,White alone,"1 or more years of college credit, no degree",EAT-Fast Food And Counter Workers
17,Female,Michigan/MI,White alone,Master's degree,OFF-Customer Service Representatives
17,Female,Michigan/MI,White alone,Bachelor's degree,FIN-Accountants And Auditors
20,Female,Minnesota/MN,White; Vietnamese,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Minnesota/MN,White alone,Doctorate degree,EDU-Postsecondary Teachers
16,Female,Missouri/MO,White alone,GED or alternative credential,HLS-Personal Care Aides
19,Female,Florida/FL,Black or African American alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Wisconsin/WI,White alone,"1 or more years of college credit, no degree",EDU-Tutors
16,Female,Pennsylvania/PA,White alone,"Some college, but less than 1 year",SAL-Cashiers
20,Female,California/CA,White alone,Regular high school diploma,MGR-Human Resources Managers
18,Female,North Carolina/NC,White alone,Associate's degree,EDU-Preschool And Kindergarten Teachers
19,Female,California/CA,Some Other Race alone,1,PRD-Painting Workers
18,Female,Iowa/IA,White alone,Bachelor's degree,RPR-Telecommunications Line Installers And Repairers
16,Female,California/CA,Some Other Race alone,"1 or more years of college credit, no degree",RPR-Industrial And Refractory Machinery Mechanics
18,Female,Georgia/GA,White alone,Regular high school diploma,MED-Miscellaneous Health Technologists and Technicians
17,Female,New Jersey/NJ,Filipino alone,Bachelor's degree,OFF-First-Line Supervisors Of Office And Administrative Support Workers
19,Female,Colorado/CO,White; Some Other Race,Regular high school diploma,EAT-Cooks
16,Female,Missouri/MO,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Texas/TX,White alone,"Some college, but less than 1 year",CLN-Janitors And Building Cleaners
18,Female,Georgia/GA,White alone,"1 or more years of college credit, no degree",MGR-Other Managers
20,Female,Tennessee/TN,Asian Indian alone,Master's degree,BUS-Management Analysts
20,Female,Wyoming/WY,White alone,Master's degree,CMM-Software Developers
18,Female,Texas/TX,White alone,Associate's degree,MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members
20,Female,Nebraska/NE,White alone,"1 or more years of college credit, no degree",PRS-Recreation Workers
16,Female,Kentucky/KY,White alone,Regular high school diploma,"TRN-Bus Drivers, School"
18,Female,California/CA,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Georgia/GA,White alone,Bachelor's degree,SAL-First-Line Supervisors Of Retail Sales Workers
18,Female,New Jersey/NJ,White alone,"1 or more years of college credit, no degree",RPR-Radio And Telecommunications Equipment Installers And Repairers
19,Female,Florida/FL,Some Other Race alone,1,TRN-Supervisors Of Transportation And Material Moving Workers
20,Female,Alabama/AL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Ohio/OH,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,New York/NY,Asian Indian; Other Asian,Bachelor's degree,EDU-Teaching Assistants
17,Female,California/CA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Georgia/GA,White; American Indian and Alaska Native,Bachelor's degree,CLN-Landscaping And Groundskeeping Workers
17,Female,Florida/FL,White; Some Other Race,7,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,California/CA,White alone,"1 or more years of college credit, no degree",SAL-Travel Agents
18,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Georgia/GA,White alone,Regular high school diploma,"MGR-Property, Real Estate, And Community Association Managers"
18,Female,Kansas/KS,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White alone,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing"
16,Female,Florida/FL,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,California/CA,Chinese; Vietnamese,GED or alternative credential,EAT-Cooks
19,Female,Kansas/KS,Black or African American alone,"1 or more years of college credit, no degree",MGR-General And Operations Managers
17,Female,New York/NY,White alone,Master's degree,MGR-Other Managers
18,Female,Pennsylvania/PA,White alone,"Some college, but less than 1 year","BUS-Business Operations Specialists, All Other"
19,Female,California/CA,Chinese alone,Bachelor's degree,CMM-Network And Computer Systems Administrators
16,Female,Michigan/MI,White alone,Regular high school diploma,SAL-Retail Salespersons
17,Female,Pennsylvania/PA,White alone,Grade 10,CLN-Landscaping And Groundskeeping Workers
17,Female,New Jersey/NJ,Chinese alone,Regular high school diploma,HLS-Massage Therapists
16,Female,California/CA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Indiana/IN,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Louisiana/LA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Texas/TX,White alone,Associate's degree,"OFF-Production, Planning, And Expediting Clerks"
19,Female,Georgia/GA,Black or African American alone,Regular high school diploma,CON-Construction Laborers
18,Female,New Jersey/NJ,Some Other Race alone,GED or alternative credential,HLS-Nursing Assistants
16,Female,Texas/TX,Some Other Race alone,Associate's degree,SAL-Insurance Sales Agents
19,Female,New Jersey/NJ,Black or African American alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,Some Other Race alone,5,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,Vietnamese alone,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Missouri/MO,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Texas/TX,White alone,Bachelor's degree,MGR-Other Managers
18,Female,Illinois/IL,White alone,"Some college, but less than 1 year","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
20,Female,Colorado/CO,Some Other Race alone,Bachelor's degree,EDU-Preschool And Kindergarten Teachers
20,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Massachusetts/MA,White alone,Bachelor's degree,MGR-Medical And Health Services Managers
20,Female,Georgia/GA,White alone,Bachelor's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
17,Female,New York/NY,White; American Indian and Alaska Native; Some Other Race,Grade 11,FFF-Other Agricultural Workers
18,Female,Pennsylvania/PA,White alone,1,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
18,Female,Colorado/CO,White alone,"1 or more years of college credit, no degree",CLN-Janitors And Building Cleaners
18,Female,Virginia/VA,White alone,Bachelor's degree,PRD-Food Batchmakers
20,Female,Illinois/IL,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Virginia/VA,White alone,Bachelor's degree,"BUS-Compensation, Benefits, And Job Analysis Specialists"
20,Female,California/CA,Chinese alone,Bachelor's degree,BUS-Project Management Specialists
17,Female,Florida/FL,Asian Indian alone,1,PRS-Skincare Specialists
19,Female,Washington/WA,Other Asian alone,Bachelor's degree,"EAT-Food Preparation and Serving Related Workers, All Other"
16,Female,Wisconsin/WI,White alone,Regular high school diploma,OFF-Postal Service Mail Carriers
17,Female,Alabama/AL,White alone,"Some college, but less than 1 year",CMM-Computer Support Specialists
19,Female,Colorado/CO,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Colorado/CO,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Professional degree beyond a bachelor's degree,MED-Physicians
18,Female,Maryland/MD,Black or African American; Other Asian,Bachelor's degree,"OFF-Office Clerks, General"
17,Female,Kansas/KS,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Georgia/GA,Black or African American alone,Regular high school diploma,HLS-Nursing Assistants
17,Female,Ohio/OH,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Texas/TX,White alone,"Some college, but less than 1 year",SAL-Insurance Sales Agents
18,Female,Indiana/IN,White alone,Regular high school diploma,PRD-Other Assemblers And Fabricators
19,Female,Colorado/CO,White alone,Master's degree,ENG-Aerospace Engineers
18,Female,West Virginia/WV,White alone,Regular high school diploma,"RPR-Computer, Automated Teller, And Office Machine Repairers"
21,Female,California/CA,White alone,"Some college, but less than 1 year","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
21,Female,California/CA,Some Other Race alone,Regular high school diploma,ENT-Interpreters and Translators
16,Female,New York/NY,Black or African American alone,Bachelor's degree,ENT-Musicians and Singers
21,Female,Arkansas/AR,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Minnesota/MN,White alone,Associate's degree,MED-Registered Nurses
17,Female,Utah/UT,White alone,"1 or more years of college credit, no degree","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
17,Female,Illinois/IL,White alone,Regular high school diploma,TRN-Industrial Truck And Tractor Operators
20,Female,Florida/FL,White alone,Regular high school diploma,MGR-Chief Executives And Legislators
19,Female,California/CA,White; American Indian and Alaska Native; Some Other Race,Associate's degree,BUS-Compliance Officers
17,Female,Kentucky/KY,White alone,"Some college, but less than 1 year","MGR-Farmers, Ranchers, And Other Agricultural Managers"
16,Female,California/CA,American Indian and Alaska Native alone,Bachelor's degree,EDU-Preschool And Kindergarten Teachers
19,Female,North Carolina/NC,White alone,Master's degree,CMS-Social And Human Service Assistants
19,Female,Kansas/KS,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Maryland/MD,Black or African American alone,Bachelor's degree,"CMS-Social Workers, All Other"
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Massachusetts/MA,White alone,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Tennessee/TN,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Georgia/GA,White; American Indian and Alaska Native,Master's degree,"CMS-Educational, Guidance, And Career Counselors And Advisors"
20,Female,California/CA,White alone,Bachelor's degree,CMM-Software Developers
18,Female,Indiana/IN,White alone,Professional degree beyond a bachelor's degree,MED-Veterinarians
16,Female,California/CA,White; Some Other Race,1,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Vermont/VT,White alone,Bachelor's degree,HLS-Personal Care Aides
18,Female,California/CA,Japanese alone,Master's degree,EDU-Tutors
18,Female,Texas/TX,White alone,"Some college, but less than 1 year",EAT-Food Preparation Workers
19,Female,Mississippi/MS,Black or African American alone,"1 or more years of college credit, no degree","PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
19,Female,Virginia/VA,Filipino alone,"1 or more years of college credit, no degree",OFF-Customer Service Representatives
19,Female,California/CA,White alone,"1 or more years of college credit, no degree",CON-Sheet Metal Workers
17,Female,Wisconsin/WI,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Massachusetts/MA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Texas/TX,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Washington/WA,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,White alone,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Virginia/VA,White alone,Master's degree,CMM-Computer Systems Analysts
16,Female,Arizona/AZ,Chinese alone,Master's degree,BUS-Management Analysts
20,Female,Arkansas/AR,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White; Some Other Race,Regular high school diploma,TRN-Stockers And Order Fillers
16,Female,California/CA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White alone,Bachelor's degree,CMM-Software Developers
16,Female,Tennessee/TN,White alone,"Some college, but less than 1 year",MGR-Other Managers
17,Female,California/CA,Black or African American alone,"Some college, but less than 1 year",HLS-Dental Assistants
18,Female,Kansas/KS,Chinese alone,Doctorate degree,EDU-Postsecondary Teachers
16,Female,Illinois/IL,Black or African American alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,California/CA,White; Some Other Race,Grade 8,CLN-Janitors And Building Cleaners
18,Female,Georgia/GA,White alone,Bachelor's degree,MGR-Other Managers
18,Female,Washington/WA,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,Black or African American alone,Bachelor's degree,OFF-Other Office And Administrative Support Workers
17,Female,Texas/TX,White alone,"Some college, but less than 1 year","SCI-Other Life, Physical, And Social Science Technicians"
18,Female,Arizona/AZ,White alone,"Some college, but less than 1 year","OFF-Bookkeeping, Accounting, And Auditing Clerks"
20,Female,Pennsylvania/PA,White alone,Regular high school diploma,PRD-Other Metal Workers And Plastic Workers
18,Female,Arizona/AZ,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Texas/TX,White alone,Bachelor's degree,MED-Registered Nurses
16,Female,New Jersey/NJ,Korean alone,Bachelor's degree,"SCI-Physical Scientists, All Other"
19,Female,Kentucky/KY,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Arizona/AZ,White alone,Associate's degree,OFF-First-Line Supervisors Of Office And Administrative Support Workers
20,Female,New York/NY,Black or African American alone,Master's degree,EDU-Elementary And Middle School Teachers
19,Female,Colorado/CO,White; American Indian and Alaska Native,Master's degree,MED-Occupational Therapists
17,Female,Arizona/AZ,Some Other Race alone,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Indiana/IN,White alone,"Some college, but less than 1 year",SAL-Retail Salespersons
16,Female,Iowa/IA,White alone,"Some college, but less than 1 year","PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders"
17,Female,New York/NY,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Texas/TX,White alone,Regular high school diploma,RPR-Industrial And Refractory Machinery Mechanics
16,Female,Texas/TX,White alone,Master's degree,EDU-Postsecondary Teachers
19,Female,Kentucky/KY,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Illinois/IL,White alone,Bachelor's degree,MGR-Industrial Production Managers
19,Female,Indiana/IN,White alone,"1 or more years of college credit, no degree","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
19,Female,Alabama/AL,White alone,GED or alternative credential,"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers"
18,Female,Illinois/IL,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
17,Female,Kansas/KS,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Oklahoma/OK,White alone,Grade 8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Wisconsin/WI,White alone,Master's degree,EDU-Elementary And Middle School Teachers
16,Female,Virginia/VA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Indiana/IN,White; American Indian and Alaska Native,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Louisiana/LA,White alone,Bachelor's degree,SAL-First-Line Supervisors Of Non-Retail Sales Workers
18,Female,Texas/TX,White alone,Regular high school diploma,EAT-Waiters And Waitresses
17,Female,Arizona/AZ,White alone,GED or alternative credential,OFF-First-Line Supervisors Of Office And Administrative Support Workers
19,Female,Louisiana/LA,White alone,Bachelor's degree,MED-Registered Nurses
16,Female,Texas/TX,White; Black or African American; Some Other Race,GED or alternative credential,TRN-Driver/Sales Workers And Truck Drivers
20,Female,California/CA,White alone,Bachelor's degree,SAL-Sales Engineers
18,Female,Florida/FL,Some Other Race alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Missouri/MO,White; American Indian and Alaska Native,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Nevada/NV,White alone,Master's degree,EDU-Elementary And Middle School Teachers
18,Female,Florida/FL,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Connecticut/CT,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Washington/WA,Filipino alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,Black or African American alone,"Some college, but less than 1 year",OFF-Customer Service Representatives
16,Female,Connecticut/CT,White alone,Master's degree,EDU-Special Education Teachers
21,Female,Ohio/OH,White alone,Bachelor's degree,BUS-Market Research Analysts And Marketing Specialists
18,Female,Mississippi/MS,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White; Some Other Race,Bachelor's degree,LGL-Paralegals And Legal Assistants
19,Female,California/CA,White alone,"1 or more years of college credit, no degree",PRS-Childcare Workers
18,Female,Wisconsin/WI,White alone,"1 or more years of college credit, no degree",PRT-Police Officers
16,Female,Massachusetts/MA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Louisiana/LA,White alone,Associate's degree,MED-Licensed Practical And Licensed Vocational Nurses
17,Female,Texas/TX,Black or African American alone,"1 or more years of college credit, no degree",OFF-File Clerks
16,Female,Arizona/AZ,Black or African American alone,Associate's degree,"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
19,Female,Ohio/OH,White alone,Master's degree,EDU-Special Education Teachers
21,Female,California/CA,Some Other Race alone,Regular high school diploma,"PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders"
16,Female,Pennsylvania/PA,White alone,Regular high school diploma,PRD-Food Batchmakers
17,Female,Arizona/AZ,White alone,Bachelor's degree,TRN-Flight Attendants
19,Female,Florida/FL,White; American Indian and Alaska Native; Some Other Race,Master's degree,"OFF-Production, Planning, And Expediting Clerks"
18,Female,New York/NY,Asian Indian alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Kentucky/KY,White alone,"1 or more years of college credit, no degree",BUS-Project Management Specialists
17,Female,Colorado/CO,White alone,Bachelor's degree,SAL-Retail Salespersons
19,Female,North Carolina/NC,Black or African American alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,District of Columbia/DC,Other Asian alone,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Missouri/MO,White alone,Grade 8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,Grade 11,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked"
21,Female,Indiana/IN,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Connecticut/CT,White alone,Bachelor's degree,ENG-Mechanical Engineers
16,Female,Tennessee/TN,White alone,Associate's degree,MED-Radiologic Technologists And Technicians
16,Female,New Jersey/NJ,White alone,Bachelor's degree,ENT-Producers And Directors
17,Female,Virginia/VA,White alone,Master's degree,ENT-Musicians and Singers
18,Female,North Carolina/NC,White alone,Bachelor's degree,ENG-Mechanical Engineers
20,Female,Kentucky/KY,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,Some Other Race alone,"1 or more years of college credit, no degree","ENG-Architects, Except Landscape And Naval"
16,Female,Oklahoma/OK,White alone,"Some college, but less than 1 year",EDU-Other Teachers and Instructors
16,Female,Maryland/MD,Asian Indian alone,Bachelor's degree,CMM-Software Developers
19,Female,New York/NY,White alone,Regular high school diploma,RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics
17,Female,Arizona/AZ,Chinese; Vietnamese,Bachelor's degree,PRD-Helpers--Production Workers
16,Female,Washington/WA,White alone,Master's degree,EDU-Secondary School Teachers
17,Female,Oklahoma/OK,White alone,"Some college, but less than 1 year",CON-First-Line Supervisors Of Construction Trades And Extraction Workers
19,Female,New Jersey/NJ,Some Other Race alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Oklahoma/OK,White alone,Regular high school diploma,ENT-Other Designers
16,Female,Virginia/VA,White; Black or African American; Some Other Race,Grade 9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Oklahoma/OK,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,Black or African American; Some Other Race,Regular high school diploma,CON-Painters and Paperhangers
21,Female,Illinois/IL,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,White alone,Bachelor's degree,"SAL-Sales Representatives, Wholesale And Manufacturing"
17,Female,Connecticut/CT,White alone,Regular high school diploma,TRN-Cleaners Of Vehicles And Equipment
20,Female,North Carolina/NC,White alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Connecticut/CT,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,Regular high school diploma,EDU-Other Teachers and Instructors
19,Female,New York/NY,White alone,Bachelor's degree,MGR-Chief Executives And Legislators
16,Female,New Jersey/NJ,White alone,GED or alternative credential,"TRN-Bus Drivers, School"
17,Female,Maryland/MD,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New York/NY,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,California/CA,White; Other Pacific Islander,Master's degree,EDU-Elementary And Middle School Teachers
17,Female,California/CA,Some Other Race alone,"1 or more years of college credit, no degree",HLS-Personal Care Aides
17,Female,Indiana/IN,White alone,Grade 11,OFF-Data Entry Keyers
18,Female,Georgia/GA,White alone,Regular high school diploma,"SAL-Sales Representatives, Wholesale And Manufacturing"
16,Female,Virginia/VA,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Texas/TX,White alone,"Some college, but less than 1 year","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
20,Female,Louisiana/LA,White alone,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Washington/WA,White alone,Bachelor's degree,SAL-First-Line Supervisors Of Non-Retail Sales Workers
18,Female,Texas/TX,White; Some Other Race,Bachelor's degree,"OFF-Dispatchers, Except Police, Fire, And Ambulance"
20,Female,Tennessee/TN,White alone,Bachelor's degree,TRN-Aircraft Pilots And Flight Engineers
17,Female,Texas/TX,White alone,"Some college, but less than 1 year",HLS-Dental Assistants
19,Female,California/CA,White alone,Regular high school diploma,TRN-Taxi Drivers
20,Female,Georgia/GA,Black or African American; Some Other Race,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Utah/UT,White alone,Bachelor's degree,OFF-Receptionists And Information Clerks
16,Female,Maryland/MD,Other Asian alone,Master's degree,MGR-Computer And Information Systems Managers
20,Female,New York/NY,White alone,"Some college, but less than 1 year",MGR-Social And Community Service Managers
21,Female,New York/NY,White alone,"1 or more years of college credit, no degree",MGR-Other Managers
16,Female,Colorado/CO,White; Some Other Race,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,North Carolina/NC,White alone,Associate's degree,BUS-Project Management Specialists
16,Female,North Carolina/NC,White alone,"1 or more years of college credit, no degree",SAL-Cashiers
18,Female,New Jersey/NJ,Black or African American alone,Regular high school diploma,"TRN-Bus Drivers, School"
17,Female,New Jersey/NJ,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,American Indian and Alaska Native alone,Grade 9,CON-Carpenters
19,Female,Connecticut/CT,Some Other Race alone,Associate's degree,OFF-Receptionists And Information Clerks
20,Female,Hawaii/HI,White alone,"Some college, but less than 1 year",EAT-Waiters And Waitresses
19,Female,Minnesota/MN,American Indian and Alaska Native alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
